Wabaunsee County,215 Kansas, P.O. Box 278, Alma,KS,66401, 785-765-3821,Fax: 785-765-4659
LaCrosse Office (Rush County),702 Main, PO Box 70, LaCrosse,KS,67548-0070, 785-222-2710,Fax: 785-222-2843
Ness City Office (Ness County),S. Pennsylvania,, Ness City,KS,67560, 785-798-3921,Fax: 785-798-3540
Dighton Office (Lane County),144 S. Lane St.,, Dighton,KS,67839-0487, 620-397-2806,Fax: 620-397-2597
Wichita County                                                       ,PO Box S,, Leoti,KS,67861-9998, 620-375-2724,Fax: 620-375-4815
Girard Office (Crawford County) ,120 E Buffalo St.,, Girard,KS,66743-1547, 620-724-8233,Fax: 620-724-7042
EFNEP Office                                                              ,667 South Hwy 69,, Pittsburg,KS,66762, 620-232-1930,Fax: 620-235-0396
Independence Office (Montgomery County) ,410 Peter Pan Road, Suite B, Independence,KS,67301-9309, 620-331-2690,Fax: 620-331-4088
Altamont Office (Labette County) ,524 Huston Street, Box 39, Altamont,KS,67330-0039, 620-784-5337,Fax: 620-784-5338
Wilson County                                    ,"Courthouse, RM 101", 615 Madison, Fredonia,KS,66736-1383, 620-378-2167,Fax: 620-378-4885
Woodson County                                               ,211 West Butler,, Yates Center,KS,66783, 620-625-8620,Fax: 620-625-8645
Wyandotte County                                                      ,1216 N 79th Street,, Kansas City,KS,66112, 913-299-9300,Fax: 913-299-5108
