id,type,mc_account_id,approved,name,logo_image,hidden,email,address,address2,city,state_id,zip,created,updated,deleted_date,user_access_id,resource_name,suite,lat,lng,contact_name,contact_phone,website,youtube_video_url,html_description,short_desc,mc_account_listings_resources_ids,mc_account_listings_sectors_ids,additional_institutions,institution_name,state,online_only,region_facet,funding_facet,physical_space_facet,facilities_facet,nonprofit_facet,professional_services_facet,other_facet,sectors_facet,all_sectors,additional_info,template_file,css_file,meta_description,meta_title,meta_keywords
13,1,,No,Ceres Venture Fund,filebin/ceres.gif,No,,500 Davis Street,,Evanston,13,60201,5/14/13 14:33,12/4/14 9:30,0000-00-00 00:00:00,26,Ceres Venture Fund,Suite 625,42.0458559,-87.6785751,,847-492-1111,http://www.ceresventurefund.com/,,"<p>Ceres Venture Fund, L.P. is an established Chicago-based venture capital fund dedicated to funding high growth companies located in the Midwest in their early stages of growth. As growth-oriented investors, the fund seeks to partner with entrepreneurs of proven ability and provide them with the resources needed to achieve extraordinary success.</p>",,,,,Ceres Venture Fund,IL,No,,Venture Capital,,,,,,"IT/Digital/Web-Mobile,Healthcare and Medical Devices",,,template.php,default.css,,,
14,1,,No,Chicago Growth Partners,filebin/CGP_logo.png,No,,303 West Madison,,Chicago,13,60606,5/14/13 14:33,12/4/14 9:42,0000-00-00 00:00:00,26,Chicago Growth Partners,25th Floor,41.881543,-87.635605,,312-698-6300,http://cgp.com/,,"<p>We founded Chicago Growth Partners to help entrepreneurs achieve their goals and execute their visions. Over the past 25 years, more than 100 growing companies have benefited from our capital, counsel, resources and creativity as well as our passion for helping entrepreneurs excel. We currently manage $1.2 billion for some of the most respected institutions in the world.</p>",,,,,Chicago Growth Partners,IL,No,,"Venture Capital,Private Equity",,,,,,"Clean Tech/Alternative Energy,IT/Digital/Web-Mobile,Biotech and Life Sciences,Healthcare and Medical Devices",,,template.php,default.css,,,
15,1,,No,Cornerstone Angels,filebin/cornerstone_angels.jpg,No,,2100 Sanders Road,,Northbrook,13,60062,5/14/13 14:33,12/4/14 10:28,0000-00-00 00:00:00,26,Cornerstone Angels,Suite 170,42.114211,-87.878357,,,http://www.cornerstoneangels.com,,"<p>Cornerstone Angels seeks to provide financial capital and mentorship to early-stage companies in the greater Midwest. Our group is a private investment organization composed of highly successful executives, entrepreneurs, and investors. Cornerstone orchestrates a rigorous and disciplined approach to angel investing.</p>",,,,,Cornerstone Angels,IL,No,,Angel Investment,,,,,,"Clean Tech/Alternative Energy,IT/Digital/Web-Mobile,Manufacturing,Healthcare and Medical Devices",,,template.php,default.css,,,
16,1,764a81290ad97107e649a6596f21984807df4271,Yes,Independence Equity,,No,,2100 Sanders Road,,Northbrook,13,60062,5/14/13 14:33,6/28/13 15:26,0000-00-00 00:00:00,26,Independence Equity,Suite 170,42.114211,-87.878357,,847-739-0100,http://www.independence-equity.com/,,"<p>Independence Equity is an early-stage venture capital firm that invests in companies commercializing technologies that improve resource utilization. The inspiration for the Independence Equity Fund stems from observations made by its founding partners while building, advising and investing in early-stage companies during the last decade. These observations include the growing demand for and depletion of natural resources; the ability of entrepreneurs to solve such problems through innovation; and the inefficiency of capital markets in financing early-stage technologies, especially within the Fund&rsquo;s targeted investment theme. The Fund seeks to capitalize on these observations by providing entrepreneurs with capital to commercialize their innovations and create long-term capital appreciation.</p>
<p>&nbsp;</p>",,,,,Independence Equity,IL,No,,Venture Capital,,,,,,"Clean Tech/Alternative Energy,Manufacturing",,"----------------------------------------------
Resource Claimed
2013-06-28 14:59:32
Achint Prabhat --> http://www.illinoisinnovation.com/mightysite/edit_record.php?tablename=mc_account&id=36
----------------------------------------------
",template.php,default.css,,,
17,1,,No,DFJ Portage,filebin/portage_ventures.jpg,No,,One Northfield Plaza,,Northfield,13,60093,5/14/13 14:33,12/4/14 10:35,0000-00-00 00:00:00,26,DFJ Portage,Suite 530,42.107965,-87.7736008,,847-446-9460,http://www.portageventures.com/,,"<p>At DFJ Portage, we help extraordinary entrepreneurs build world class businesses. With over 20 years of experience, we understand the challenges and resources involved in creating a successful venture. We have offices in more than 33 cities around the world, 550 funded portfolio companies, and 135 investment professionals, giving us unrivaled visibility into the global technology market. The DFJ Network operates in virtually every major technology market in the U.S. as well as key markets in Europe, South America, Russia, and Asia. Put the power of our Network behind you.</p>",,,,,DFJ Portage,IL,No,,Venture Capital,,,,,,"IT/Digital/Web-Mobile,Biotech and Life Sciences,Nanotechnology,Telecommunications",,,template.php,default.css,,,
18,1,,No,Duchossois Technology Partners,filebin/duchossois_tech.jpg,No,,845 Larch Avenue,,Elmhurst,13,60126-1196,5/14/13 14:33,12/4/14 10:36,0000-00-00 00:00:00,26,Duchossois Technology Partners,,41.9252396,-87.9434386,,630-530-6105,http://www.duchtech.com/,,"<p>Duchossois Technology Partners (DTEC) is a venture capital firm investing in early, mid, and growth stages of high potential technology companies. Founded in 1998, DTEC has invested in over two dozen entrepreneurial management teams, focusing on information technology, communications, semiconductors, and software.</p>",,,,,Duchossois Technology Partners,IL,No,,Venture Capital,,,,,,"IT/Digital/Web-Mobile,Healthcare and Medical Devices,Telecommunications",,,template.php,default.css,,,DTEC
19,1,,No,Dunrath Capital,filebin/Dunrath-Banner5.jpg,No,,407 S. Dearborn St.,,Chicago,13,60605,5/14/13 14:33,12/4/14 10:47,0000-00-00 00:00:00,26,Dunrath Capital,Suite 1000,41.8766109,-87.628992,,312-546-4700,http://www.dunrath.com/index.asp,,<p>Dunrath Capital is a research-based private equity and strategic advisory firm. The Dunrath team has extensive operating and investment experience in the sectors in which we invest and advise.</p>,,,,,Dunrath Capital,IL,No,,"Venture Capital,Private Equity",,,,,,"Clean Tech/Alternative Energy, Food/Agriculture, IT/Digital/Web-Mobile, Manufacturing, Biotech and Life Sciences, Healthcare and Medical Devices, Nanotechnology, Transportation/Logistics, Social/Impact Venture, Telecommunications",X,,template.php,default.css,,,
20,1,35029741fade33c7e05723a286f18b0f5a1fb025,Yes,Energy Foundry,filebin/energy-foundry-85792929.jpg,No,info@energyfoundry.com,222 W. Merchandise Mart,,Chicago,13,60654,5/14/13 14:33,12/4/14 11:22,0000-00-00 00:00:00,26,Energy Foundry,Suite 1212,41.8883695,-87.6353645,,,http://energyfoundry.com/,,"<p>We are an early-stage impact venture fund created to support game-changing grid and energy ideas, and to empower consumers to harness the benefits of the energy-tech revolution.</p>
<p>Our model is based on the thesis that building successful grid and energy technology companies requires a unique approach. This is why we couple our investment with integrated support tailored to the needs of energy businesses. From proving grounds to an advisor network, advice on government funding to foundational partnerships for operational support, we support entrepreneurs to make what they do even better. By coupling the resources, advice and expertise that an early stage energy-tech company needs to get through its critical path, we add value that goes beyond investment dollars.</p>
<p>Energy Foundry was created as part of the landmark Illinois Energy Infrastructure Modernization Act to catalyze the Illinois energy renaissance. We are a $72.5 million private nonprofit (evergreen) organization funded by Commonwealth Edison and Ameren.</p>",,,,,Energy Foundry,IL,No,,Venture Capital,,,Mentorship,,,Clean Tech/Alternative Energy,,"----------------------------------------------
Resource Claimed
2013-06-04 16:28:26
Jeremy Adelman --> http://istc.mighty-site.com/mightysite/edit_record.php?tablename=mc_account&id=15
----------------------------------------------
",template.php,default.css,,,
21,1,,No,FireStarter,filebin/firestarter.jpg,No,,,,,0,,5/14/13 14:33,12/4/14 11:43,0000-00-00 00:00:00,26,FireStarter,,,,,,http://firestarterfund.com/,,"<p>We are a group of Chicago founders who have come together to support the next generation of entrepreneurs. We all have direct experience founding, operating and investing in digital technology based businesses that leverage the developments of the past forty years. We owe a debt to the innovators who came before us and it is a debt we intend to repay by helping to fund promising new ideas and the entrepreneurs who have the passion and the drive to see their ideas become reality. Primarily focusing on Digital Media &amp; Marketing, Software as a Service, &amp; eCommerce (with a focus on social, mobile and big data), we invest in companies incorporated in the US.</p>",,,,,FireStarter,,No,,Venture Capital,,,,,,IT/Digital/Web-Mobile,,,template.php,default.css,,,
22,1,,No,First Analysis,filebin/FASC_logo.png,No,,One South Wacker Drive,,Chicago,13,60606,5/14/13 14:33,12/4/14 11:44,0000-00-00 00:00:00,26,First Analysis,Suite 3900,41.8816418,-87.6365503,,312-258-1400,http://www.firstanalysis.com/,,"<p>First Analysis, founded in 1981, has a long-term commitment to its clients and industry sectors. Research is the foundation of everything we do. Our firm-wide team of about 40 investment professionals averages more than 15 years of investment and relevant industry experience. Each of our 15 research-focused investment professionals develops and maintains deep domain expertise in specific sectors, each of which belongs to one of our core areas of focus.</p>",,,,,First Analysis,IL,No,,"Venture Capital,Private Equity",,,,,,"Clean Tech/Alternative Energy,IT/Digital/Web-Mobile,Healthcare and Medical Devices",,,template.php,default.css,,,
23,1,,No,Foley Ventures,filebin/foley.gif,No,,321 North Clark Street,,Chicago,13,60654-5313,5/14/13 14:33,12/4/14 11:45,0000-00-00 00:00:00,26,Foley Ventures,Suite 2800,41.888113,-87.630755,,312-832-4500,http://www.foley.com/CatapultChicago/,,"<p>Foley attorneys throughout the country have long shared the entrepreneurial spirit embodied by Catapult companies, It is, after all, how many of our largest clients began. Along with providing a full range of legal services for emerging companies, we actively partner with clients as business strategists &mdash; and even investors. Our commitment to our clients&rsquo; success means, literally, that we put our money where our mouth is. We created Foley Ventures, a $4 million venture fund comprising contributions from our partners that is invested exclusively in our clients. Foley has so far opened up the Foley Ventures fund to current Catapult resident companies StyleSeek, Shiftgig, Procured Health, and former resident company Techli.com. Foley also offers fee deferral packages for select start-ups &mdash; a common offering on the coasts and something Foley has imported to Chicago from those offices in more established markets. In addition to co-founding Catapult, these resources are yet another way we can demonstrate our confidence in and enthusiasm about the potential of these start-ups.</p>",,,,,Foley & Lardner LLP,IL,No,,Venture Capital,,,,,,"Clean Tech/Alternative Energy, Food/Agriculture, IT/Digital/Web-Mobile, Manufacturing, Biotech and Life Sciences, Healthcare and Medical Devices, Nanotechnology, Transportation/Logistics, Social/Impact Venture, Telecommunications",X,,template.php,default.css,,,
24,1,,No,Gaebler Ventures,filebin/gaebler.gif,No,,156 N. Jefferson Street,,Chicago,13,60661,5/14/13 14:33,12/4/14 11:54,0000-00-00 00:00:00,26,Gaebler Ventures,Suite 301,41.88484,-87.6428905,,,http://www.gaeblervc.com/,,"<p>Gaebler Ventures is a business incubator and holding company that develops and nurtures companies that are shaping the future. With an emphasis on seed-stage and early-stage investments, the Chicago-based partnership has invested in companies since 1999 and has established numerous innovative and market-leading enterprises.</p>",,,,,Gaebler Ventures,IL,No,,Venture Capital,Incubator,,,,,IT/Digital/Web-Mobile,,,template.php,default.css,,,
25,1,,No,Heartland Angels,filebin/heartland_angels.jpeg,No,,5300 Galitz Street,,Skokie,13,60077,5/14/13 14:33,12/4/14 15:34,0000-00-00 00:00:00,26,Heartland Angels,,42.025115,-87.760051,,847-675-3057,http://www.heartlandangels.com/,,"<p>Our mission is to be a catalyst in the process of innovation. We do this by creating forums in which human, intellectual and financial capital are joined for a common purpose.</p>",,,,,Heartland Angels,IL,No,,Angel Investment,,,,,,"IT/Digital/Web-Mobile,Manufacturing,Telecommunications",,,template.php,default.css,,,
26,1,,No,Hopewell Ventures,filebin/hopewell.gif,No,,20 North Wacker Drive,,Chicago,13,60606,5/14/13 14:33,12/4/14 15:36,0000-00-00 00:00:00,26,Hopewell Ventures,Suite 2200,41.8822584,-87.6371982,,312-357-9600,http://www.hopewellventures.com/,,"<p>Hopewell Ventures provides equity capital and strategic expertise to high-growth businesses, primarily in the Midwest. The principals have more than 80 years of experience investing in and growing Midwestern companies. Hopewell&rsquo;s investment focus is aligned with the opportunities the Midwest provides: growth-oriented ventures at various stages of development across a broad range of industries. From state-of-the-art technology and life-sciences to traditional manufacturing and consumer products, Hopewell works with portfolio companies to help them maximize opportunities.</p>",,,,,Hopewell Ventures,IL,No,,Venture Capital,,,,,,"Clean Tech/Alternative Energy,IT/Digital/Web-Mobile,Manufacturing,Biotech and Life Sciences,Healthcare and Medical Devices",,,template.php,default.css,,,
27,1,,No,Hyde Park Angels,filebin/hydeparkangels.png,No,,Polsky Center for Entrepreneurship,5807 South Woodlawn Ave.,Chicago,13,60637,5/14/13 14:33,12/4/14 15:36,0000-00-00 00:00:00,26,Hyde Park Angels,,41.7893998,-87.5963929,Tom Ancona,773-834-1296,http://www.hydeparkangels.com/,,"<p>Hyde Park Angels is an organization that provides a forum for entrepreneurial-minded members to invest in seed and early stage businesses, primarily located in the Midwest. HPA is a group of current and former executives, entrepreneurs, and venture capitalists who are interested in investing their time and money into outstanding startups. HPA also provides domain expertise, strategic advice and coaching to its companies. The Chicago-based Hyde Park Angel Network was founded in 2006 by a group of classmates from the University of Chicago Booth School of Business Executive MBA Program.</p>",,,,,University of Chicago Booth School of Business,IL,No,,Angel Investment,,,,,,"IT/Digital/Web-Mobile,Manufacturing,Healthcare and Medical Devices",,,template.php,default.css,,,"UC, HPA"
28,1,,No,Hyde Park Venture Partners,filebin/hpvp.png,No,,225 W Washington,,Chicago,13,60606,5/14/13 14:33,12/4/14 15:37,0000-00-00 00:00:00,26,Hyde Park Venture Partners,Suite 1500,41.8830087,-87.6351499,,,http://www.hydeparkvp.com/,,"<p>Hyde Park Venture Partners (HPVP) is an early stage venture capital fund investing in early stage technology companies in the Midwest, with particular focus in Chicago. HPVP invests in technology-enabled business and consumer services and healthcare IT companies raising their first or second round of institutional capital, ranging in total size from $750K to $2.5M. HPVP draws on its strategic relationship with Hyde Park Angels (HPA) to provide industry and business expertise to its portfolio companies through a network of more than 90 seasoned business executives, entrepreneurs and service professionals. HPVP's principals, Ira Weiss and Guy Turner, and the HPA network take an active role in mentoring and guiding portfolio companies in product development, business strategy, financing and exit through both formal director roles and informal mentorship relationships.</p>",,,,,Hyde Park Venture Partners,IL,No,,Venture Capital,,,,,,"IT/Digital/Web-Mobile,Healthcare and Medical Devices",,,template.php,default.css,,,HPVP
29,1,,No,Chicago Ventures,filebin/CV.png,No,,222 Merchandise Mart Plaza,,Chicago,13,60654,5/14/13 14:33,12/4/14 9:53,0000-00-00 00:00:00,26,Chicago Ventures,12th Floor,41.8883695,-87.6353645,,312-300-4650,http://www.chicagoventures.com/,,"<p>Chicago Ventures invests in well-managed seed-stage technology companies in Chicago and the Greater Midwest that have demonstrated a value proposition in a given market for their product or services. The fund looks to make initial investments ranging from $250,000 to $1 million in each company.</p>",,,,,Chicago Ventures,IL,No,,Venture Capital,,,,,,"IT/Digital/Web-Mobile,Telecommunications",,,template.php,default.css,,,
30,1,,No,IllinoisVENTURES,,No,nansulli@uic.edu,20 N. Wacker Drive ,,Chicago,13,60606,5/14/13 14:33,11/18/14 10:08,0000-00-00 00:00:00,26,IllinoisVENTURES,Suite 1201,41.8822584,-87.6371982,Nancy Sullivan,(312) 996-9715,http://www.illinoisventures.com/,,"<p>IllinoisVENTURES is a premier seed and early-stage technology investment firm focused on research-derived companies in information technologies, physical sciences, life sciences and clean technology. We start and build globally-competitive businesses based on work conducted at Midwest Universities and federal laboratories. We bring together leading researchers and entrepreneurs to mold concepts, vision, intellectual property, sweat and passion into breakthrough, high-growth companies. Conceived and launched by the University of Illinois, we have been consistently named by Entrepreneur magazine to its national list of the top 100 venture capital firms.</p>",,,,,University of Illinois,IL,No,Statewide,Venture Capital,,,Mentorship,Consulting,,"Clean Tech/Alternative Energy, Food/Agriculture, IT/Digital/Web-Mobile, Manufacturing, Biotech and Life Sciences, Healthcare and Medical Devices, Nanotechnology, Transportation/Logistics, Social/Impact Venture, Telecommunications",X,,template.php,default.css,,,UI
31,1,,No,JK&B Capital,filebin/jkb.gif,No,,Two Prudential Plaza,180 North Stetson Avenue,Chicago,13,60601,5/14/13 14:33,12/4/14 15:38,0000-00-00 00:00:00,26,JK&B Capital,Suite 4500,41.8851542,-87.6223183,,312-946-1200,http://www.jkbcapital.com/,,"<p>JK&amp;B Capital is a venture capital firm focused in the software, IT and communications markets with over $1.1 billion of capital under management. Founded in 1996, JK&amp;B has built a track record of generating exceptional returns for investors by identifying and investing in companies with technologies which have been critical to the growth of the world&rsquo;s information economy.</p>",,,,,JK&B Capital,IL,No,,Venture Capital,,,,,,"IT/Digital/Web-Mobile,Healthcare and Medical Devices,Telecommunications",,,template.php,default.css,,,
